Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
85,380,85Sr ,  ,-81103.3     ,   2.8     ,            ,           ,  , , ,  64.846 , d, 0.006  ,9/2+*         ,14,1940, EC=100
85,381,85Sr ,m ,-80864.5     ,   2.8     ,  238.79    ,   0.05    ,  , , ,  67.63  , m, 0.04   ,1/2-*         ,14,1940, IT=86.6 4;B+=13.4 4
85,390,85Y  ,  ,-77842       ,  19       ,            ,           ,  , , ,   2.68  , h, 0.05   ,(1/2)-        ,14,1952, B+=100
85,391,85Y  ,m ,-77822       ,  19       ,   19.68    ,   0.17    ,  , , ,   4.86  , h, 0.20   ,(9/2)+        ,14,1952, B+~100; IT ?
85,392,85Y  ,n ,-77576       ,  19       ,  266.18    ,   0.10    ,  , , , 178     ,ns, 7      ,(5/2)-        ,14,1977, IT=100
85,400,85Zr ,  ,-73175       ,   6       ,            ,           ,  , , ,   7.86  , m, 0.04   ,(7/2+)        ,14,1963, B+=100
85,401,85Zr ,m ,-72883       ,   6       ,  292.2     ,   0.3     ,  , , ,  10.9   , s, 0.3    ,1/2-#         ,14,1976, IT=?;B+=?
85,410,85Nb ,  ,-66280       ,   4       ,            ,           ,  , , ,  20.5   , s, 0.7    ,9/2+#         ,14,1988, B+=100
85,411,85Nb ,m ,-66130#      ,  80#      ,  150#      ,  80#      ,  , , ,   3.3   , s, 0.9    ,(1/2-)        ,14,1988, IT=?;B+=?
85,412,85Nb ,n ,             ,           , non-exist  ,           ,RN, , ,  12     , s, 5      ,              ,14,, B- ?; IT ?
85,420,85Mo ,  ,-57510       ,  16       ,            ,           ,  , , ,   3.2   , s, 0.2    ,(1/2+)        ,14,1992, B+=100;B+p=0.14 2
85,430,85Tc ,  ,-45850#      , 400#      ,            ,           ,  , , ,         ,  , <110ns ,1/2-#         ,14,, p ?
85,440,85Ru ,  ,-30630#      , 500#      ,            ,           ,  , , ,   1#    ,ms, >400ns ,3/2-#         ,15,2013, B+ ?;B+p ?;p ?
86,300,86Zn ,  ,-20060#      , 500#      ,            ,           ,  , , ,         ,  ,        ,0+            ,,, B- ?;B-n ?
86,310,86Ga ,  ,-33760#      , 400#      ,            ,           ,  , , ,  49     ,ms, 2      ,              ,15,1997, B-=100;B-n=69 6;B-2n=16.2 11
86,320,86Ge ,  ,-49400       , 440       ,            ,           ,  , , , 221.6   ,ms, 11     ,0+            ,15,1994, B-=100;B-n=45 15
86,330,86As ,  ,-58962       ,   3       ,            ,           ,  , , , 945     ,ms, 8      ,"(1-,2-)       ",15,1973, B-=100;B-n=35.5 6;B-2n ?
86,340,86Se ,  ,-70503.2     ,   2.5     ,            ,           ,  , , ,  14.3   , s, 0.3    ,0+            ,16,1973, B-=100;B-n ?
86,350,86Br ,  ,-75632       ,   3       ,            ,           ,  , , ,  55.1   , s, 0.4    ,(1-)          ,15,1962, B-=100
86,360,86Kr ,  ,-83265.676   ,   0.004   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,15,1920, IS=17.279 41;2B- ?
86,370,86Rb ,  ,-82747.00    ,   0.20    ,            ,           ,  , , ,  18.645 , d, 0.008  ,2-*           ,15,1941, B-~100;EC=0.0052 5
86,371,86Rb ,m ,-82190.95    ,   0.27    ,  556.05    ,   0.18    ,  , , ,   1.017 , m, 0.003  ,6-*           ,15,1951, IT~100;B-<0.3
86,380,86Sr ,  ,-84523.100   ,   0.005   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,15,1931, IS=9.86 20
86,381,86Sr ,m ,-81567.01    ,   0.12    , 2956.09    ,   0.12    ,  , , , 455     ,ns, 7      ,8+            ,15,1971, IT=100
86,390,86Y  ,  ,-79283       ,  14       ,            ,           ,  , , ,  14.74  , h, 0.02   ,4-*           ,15,1951, B+=100
86,391,86Y  ,m ,-79065       ,  14       ,  218.21    ,   0.09    ,  , , ,  47.4   , m, 0.4    ,(8+)          ,15,1962, IT=99.31 4;B+=0.69 4
86,392,86Y  ,n ,-78981       ,  14       ,  302.18    ,   0.09    ,  , , , 125.3   ,ns, 5.5    ,6+            ,15,2000, IT=100
86,400,86Zr ,  ,-77969       ,   4       ,            ,           ,  , , ,  16.5   , h, 0.1    ,0+            ,15,1951, B+=100
86,410,86Nb ,  ,-69134       ,   5       ,            ,           ,  ,*, ,  88     , s, 1      ,(6+)          ,15,1974, B+=100
86,411,86Nb ,m ,-68980#      , 100#      ,  150#      , 100#      ,  ,*, ,  20#    , s,        ,"(0-,1-,2-)    ",15,1994, B+=100; IT ?
86,412,86Nb ,n ,             ,           , non-exist  ,           ,RN, , ,  56.3   , s, 8.3    ,              ,15,, B+= ?; IT ?
86,420,86Mo ,  ,-64110.9     ,   2.9     ,            ,           ,  , , ,  19.1   , s, 0.3    ,0+            ,15,1991, B+=100
86,430,86Tc ,  ,-51570#      , 300#      ,            ,           ,  , , ,  55     ,ms, 7      ,(0+)          ,15,1992, B+=100;B+p ?
86,431,86Tc ,m ,-50050#      , 300#      , 1524       ,  10       ,  , , ,   1.10  ,us, 0.12   ,(6+)          ,15,2000, IT=100
86,440,86Ru ,  ,-39770#      , 400#      ,            ,           ,  , , ,  50#    ,ms, >400ns ,0+            ,15,2013, B+ ?;B+p ?
87,310,87Ga ,  ,-28870#      , 500#      ,            ,           ,  , , ,  29     ,ms, 4      ,5/2-#         ,15,2010, B-=100;B-n=81 12;B-2n=10.2 2.8
87,320,87Ge ,  ,-43590#      , 300#      ,            ,           ,  , , , 103     ,ms, 4      ,5/2+#         ,15,1997, B-=100;B-n ?;B-2n ?
87,330,87As ,  ,-55617.9     ,   3.0     ,            ,           ,  , , , 492     ,ms, 25     ,"(5/2-,3/2-)   ",15,1970, B-=100;B-n=15.4 22;B-2n ?
87,340,87Se ,  ,-66426.1     ,   2.2     ,            ,           ,  , , ,   5.50  , s, 0.06   ,(3/2+)        ,15,1968, B-=100;B-n=0.60 12
87,350,87Br ,  ,-73892       ,   3       ,            ,           ,  , , ,  55.68  , s, 0.12   ,5/2-          ,15,1943, B-=100;B-n=2.60 4
87,360,87Kr ,  ,-80709.53    ,   0.25    ,            ,           ,  , , ,  76.3   , m, 0.5    ,5/2+*         ,15,1940, B-=100
87,370,87Rb ,  ,-84597.802   ,   0.006   ,            ,           ,  , , ,  49.7   ,Gy, 0.3    ,3/2-*         ,15,1921, IS=27.83 2;B-=100
87,380,87Sr ,  ,-84880.076   ,   0.005   ,            ,           ,  , , , stbl    ,  ,        ,9/2+*         ,15,1931, IS=7.00 20
87,381,87Sr ,m ,-84491.547   ,   0.006   ,  388.5287  ,   0.0023  ,  , , ,   2.805 , h, 0.009  ,1/2-*         ,15,1940, IT=99.70 8;EC=0.30 8
87,390,87Y  ,  ,-83018.4     ,   1.1     ,            ,           ,  , , ,  79.8   , h, 0.3    ,1/2-*         ,15,1940, B+=100
87,391,87Y  ,m ,-82637.6     ,   1.1     ,  380.82    ,   0.07    ,  , , ,  13.37  , h, 0.03   ,9/2+*         ,15,1940, IT=98.43 11;B+=1.57 11
87,400,87Zr ,  ,-79347       ,   4       ,            ,           ,  , , ,   1.68  , h, 0.01   ,9/2+          ,15,1948, B+=100
87,401,87Zr ,m ,-79011       ,   4       ,  335.84    ,   0.19    ,  , , ,  14.0   , s, 0.2    ,1/2-          ,15,1972, IT=100
87,410,87Nb ,  ,-73874       ,   7       ,            ,           ,  , , ,   3.7   , m, 0.1    ,(1/2)-        ,15,1971, B+=100
87,411,87Nb ,m ,-73870       ,   7       ,    3.9     ,   0.1     ,  , , ,   2.6   , m, 0.1    ,(9/2)+        ,15,1972, B+=100
87,420,87Mo ,  ,-66884.8     ,   2.9     ,            ,           ,  , , ,  14.1   , s, 0.3    ,7/2+#         ,15,1977, B+=100;B+p=15 5
87,430,87Tc ,  ,-57690       ,   4       ,            ,           ,  ,*, ,   2.14  , s, 0.17   ,9/2+#         ,15,1991, B+=100;B+p<0.7
87,431,87Tc ,m ,-57683       ,   4       ,    7       ,   1       ,  ,*, ,   2#    , s,        ,1/2-#         ,,, B+ ?;IT ?
87,432,87Tc ,n ,-57619       ,   4       ,   71       ,   1       ,  , , , 647     ,ns, 24     ,7/2+#         ,15,2007, IT=100
87,440,87Ru ,  ,-45730#      , 400#      ,            ,           ,  , , ,  50#    ,ms, >1.5us ,1/2-#         ,15,1995, B+ ?;B+p ?
88,310,88Ga ,  ,-22390#      , 500#      ,            ,           ,  , , ,         ,  ,        ,              ,,, B- ?;B-n ?
