Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
23,118,23Na ,i , -1638.7     ,   0.3     , 7891.2     ,   0.3     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,21,, IT=100
23,119,23Na ,j , 10060.6     ,   2.0     ,19590.4     ,   2.0     ,  , , , 240     ,zs, 120    ,        T=5/2 ,21,, 
23,120,23Mg ,  , -5473.67    ,   0.03    ,            ,           ,  , , ,  11.3039, s, 0.0032 ,3/2+*         ,21,1939, B+=100
23,128,23Mg ,i ,  2329.3     ,   0.6     , 7803.0     ,   0.6     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,21,1981, IT~100;p=0.17 8
23,130,23Al ,  ,  6748.1     ,   0.3     ,            ,           ,  , , , 446     ,ms, 6      ,5/2+          ,21,1969, B+=100;B+p=1.22 5
23,138,23Al ,i , 18470       ,  40       ,11720       ,  40       ,p , , ,         ,  ,        ,(5/2)+  T=5/2 ,21,1997, p=0.10 5;2p=3.6 4
23,140,23Si ,  , 23950#      , 500#      ,            ,           ,  , , ,  42.3   ,ms, 0.4    ,3/2+#         ,21,1986, B+=100;B+p~88;B+2p=3.6 3
24,70,24N  ,  , 46940#      , 400#      ,            ,           ,  , , ,         ,  , <52ns  ,              ,7,, n ?
24,80,24O  ,  , 18500       , 160       ,            ,           ,  , , ,  77.4   ,ms, 4.5    ,0+            ,7,1970, B-=100;B-n=43 4
24,90,24F  ,  ,  7540       , 100       ,            ,           ,  , , , 384     ,ms, 16     ,3+            ,7,1970, B-=100;B-n<5.9
24,100,24Ne ,  , -5951.6     ,   0.5     ,            ,           ,  , , ,   3.38  , m, 0.02   ,0+            ,7,1956," B-=100[gs=0,m=100]"
24,110,24Na ,  , -8417.901   ,   0.017   ,            ,           ,  , , ,  14.9560, h, 0.0015 ,4+*           ,7,1934, B-=100
24,111,24Na ,m , -7945.694   ,   0.017   ,  472.2074  ,   0.0008  ,  , , ,  20.18  ,ms, 0.10   ,1+            ,7,1961, IT~100;B-=0.05
24,118,24Na ,i , -2450.53    ,   0.13    , 5967.37    ,   0.13    ,  , , ,         ,  ,        ,0+      T=2   ,7,, 
24,120,24Mg ,  ,-13933.578   ,   0.013   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,7,1920, IS=78.965 49
24,128,24Mg ,i , -4417.30    ,   0.04    , 9516.28    ,   0.04    ,  , , ,         ,  ,        ,(4+)    T=1   ,7,, 
24,129,24Mg ,j ,  1502.8     ,   0.6     ,15436.4     ,   0.6     ,  , , ,         ,  ,        ,0+      T=2   ,7,, 
24,130,24Al ,  ,   -48.81    ,   0.23    ,            ,           ,  , , ,   2.053 , s, 0.004  ,4+            ,7,1953, B+=100;B+A=0.035 6;B+p=0.0016 3
24,131,24Al ,m ,   376.99    ,   0.25    ,  425.8     ,   0.1     ,  , , , 130     ,ms, 3      ,1+            ,7,1968, IT=82.5 30;B+=17.5 30;B+A=0.028 6
24,138,24Al ,i ,  5900       ,   3       , 5949       ,   3       ,p , , ,         ,  ,        ,0+      T=2   ,7,, 
24,140,24Si ,  , 10745       ,  19       ,            ,           ,  , , , 143.2   ,ms, 2.1    ,0+            ,7,1979, B+=100;B+p=34.5 14
24,150,24P  ,  , 34020#      , 500#      ,            ,           ,  , , ,         ,  ,        ,1+#           ,,, p ?;B+ ?;B+p ?
25,70,25N  ,  , 55980#      , 500#      ,            ,           ,  , , ,         ,  , <260ns ,1/2-#         ,9,, n ?;2n ?;B- ?
25,80,25O  ,  , 27330       , 170       ,            ,           ,  , , ,   5.18  ,zs, 0.35   ,3/2+#         ,9,2008, n=100
25,90,25F  ,  , 11330       , 100       ,            ,           ,  , , ,  80     ,ms, 9      ,(5/2+)        ,9,1970, B-=100;B-n=23.1 45;B-2n ?
25,100,25Ne ,  , -2036       ,  29       ,            ,           ,  , , , 602     ,ms, 8      ,1/2+*         ,9,1970, B-=100
25,110,25Na ,  , -9357.8     ,   1.2     ,            ,           ,  , , ,  59.1   , s, 0.6    ,5/2+*         ,9,1943, B-=100
25,120,25Mg ,  ,-13192.78    ,   0.05    ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,9,1920, IS=10.011 13
25,128,25Mg ,i , -5405.8     ,   0.3     , 7787.0     ,   0.3     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,9,, 
25,130,25Al ,  , -8915.97    ,   0.06    ,            ,           ,  , , ,   7.1666, s, 0.0023 ,5/2+          ,9,1953, B+=100
25,138,25Al ,i , -1014.9     ,   1.8     , 7901.1     ,   1.8     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,9,, 
25,140,25Si ,  ,  3827       ,  10       ,            ,           ,  , , , 220.6   ,ms, 1.0    ,5/2+          ,9,1963, B+=100;B+p=35 2
25,150,25P  ,  , 20190#      , 400#      ,            ,           ,  , , ,         ,  , <30ns  ,1/2+#         ,9,, p ?
26,80,26O  ,  , 34660       , 160       ,            ,           ,  , , ,   4.2   ,ps, 3.3    ,0+            ,16,2012, 2n=100
26,90,26F  ,  , 18670       , 110       ,            ,           ,  , , ,   8.2   ,ms, 0.9    ,1+            ,16,1979, B-=100;B-n=13.5 40;B-2n ?
26,91,26F  ,m , 19310       , 110       ,  643.4     ,   0.1     ,  , , ,   2.2   ,ms, 0.1    ,(4+)          ,16,2013, IT=82 11;B-=?;B-n=12 8
26,100,26Ne ,  ,   481       ,  18       ,            ,           ,  , , , 197     ,ms, 2      ,0+            ,16,1970, B-=100;B-n=0.13 3
26,110,26Na ,  , -6861       ,   4       ,            ,           ,  , , ,1071.28  ,ms, 0.25   ,3+*           ,16,1958, B-=100
26,111,26Na ,m , -6779       ,   4       ,   82.4     ,   0.04    ,  , , ,   4.35  ,us, 0.16   ,1+            ,16,1987, IT=100
26,120,26Mg ,  ,-16214.544   ,   0.029   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,16,1920, IS=11.025 38
26,130,26Al ,  ,-12210.14    ,   0.07    ,            ,           ,  , , , 717     ,ky, 24     ,5+            ,16,1934, B+=100
26,131,26Al ,m ,-11981.83    ,   0.07    ,  228.306   ,   0.013   ,MD, , ,6346.0   ,ms, 0.5    ,0+      T=1   ,16,1934, B+=100
26,140,26Si ,  , -7141.00    ,   0.11    ,            ,           ,  , , ,   2.2453, s, 0.0007 ,0+            ,16,1960, B+=100
26,148,26Si ,i ,  5874       ,   4       ,13015       ,   4       ,p , , ,         ,  ,        ,(3+)    T=2   ,16,, 
26,150,26P  ,  , 10970#      , 200#      ,            ,           ,  , , ,  43.6   ,ms, 0.3    ,(3)+          ,16,1983, B+=100;B+p=35.1 14;B+2p=1.99 21
26,151,26P  ,m , 11130#      , 200#      ,  164.4     ,   0.1     ,  , , , 115     ,ns, 8      ,(1+)          ,16,2014, IT=100
26,160,26S  ,  , 27680#      , 600#      ,            ,           ,  , , ,         ,  , <79ns  ,0+            ,16,, 2p ?
27,80,27O  ,  , 44670#      , 500#      ,            ,           ,  , , ,         ,  , <260ns ,3/2+#         ,,, n ?;2n ?
27,90,27F  ,  , 25130       , 120       ,            ,           ,  , , ,   5.0   ,ms, 0.2    ,5/2+#         ,11,1981, B-=100;B-n=77 21;B-2n ?
27,100,27Ne ,  ,  7050       ,  90       ,            ,           ,  , , ,  30.9   ,ms, 1.1    ,(3/2+)        ,11,1977, B-=100;B-n=2.0 5;B-2n ?
27,110,27Na ,  , -5518       ,   4       ,            ,           ,  , , , 301     ,ms, 6      ,5/2+*         ,11,1968, B-=100;B-n=0.098 24
27,120,27Mg ,  ,-14586.59    ,   0.05    ,            ,           ,  , , ,   9.435 , m, 0.027  ,1/2+*         ,11,1934, B-=100
27,130,27Al ,  ,-17196.86    ,   0.05    ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,11,1922, IS=100
27,138,27Al ,i ,-10383.1     ,   0.7     , 6813.8     ,   0.7     ,  , , ,         ,  ,        ,1/2+    T=3/2 ,11,, IT=100
27,140,27Si ,  ,-12384.51    ,   0.11    ,            ,           ,  , , ,   4.117 , s, 0.014  ,5/2+          ,11,1939, B+=100
27,148,27Si ,i , -5759.5     ,   2.3     , 6625.0     ,   2.3     ,RQ, , ,         ,  ,        ,1/2+    T=3/2 ,11,1977, IT ?
27,150,27P  ,  ,  -659       ,   9       ,            ,           ,  , , , 260     ,ms, 80     ,1/2+          ,11,1977, B+=100;B+p~0.07
27,158,27P  ,i , 12010       ,  30       ,12670       ,  30       ,p , , ,         ,  ,        ,5/2+    T=5/2 ,11,1991, IT ?
27,160,27S  ,  , 17490#      , 400#      ,            ,           ,  , , ,  16.3   ,ms, 0.2    ,(5/2+)        ,11,1986, B+=100;B+p=61 3;B+2p=3.0 6
28,80,28O  ,  , 52080#      , 700#      ,            ,           ,  , , ,         ,  , <100ns ,0+            ,13,, 2n ?;B-=0
28,90,28F  ,  , 33400       , 120       ,            ,           ,  , , ,  46     ,zs,        ,(4-)          ,13,2012, n=100
28,100,28Ne ,  , 11300       , 130       ,            ,           ,  , , ,  18.8   ,ms, 0.2    ,0+            ,13,1979, B-=100;B-n=12 1;B-2n=3.7 5
28,110,28Na ,  ,  -988       ,  10       ,            ,           ,  , , ,  33.1   ,ms, 1.3    ,1+*           ,13,1969, B-=100;B-n=0.58 12
28,120,28Mg ,  ,-15019.95    ,   0.26    ,            ,           ,  , , ,  20.915 , h, 0.009  ,0+            ,13,1953, B-=100
28,130,28Al ,  ,-16850.72    ,   0.05    ,            ,           ,  , , ,   2.245 , m, 0.005  ,3+*           ,13,1934, B-=100
28,138,28Al ,i ,-10858.14    ,   0.11    , 5992.58    ,   0.10    ,  , , ,         ,  ,        ,0+      T=2   ,13,, 
28,140,28Si ,  ,-21492.7971  ,   0.0005  ,            ,           ,  , , , stbl    ,  ,        ,0+            ,13,1920, IS=92.2545 37
28,145,28Si ,r , -8951.75    ,   0.05    ,12541.04    ,   0.05    ,RQ, , ,         ,  ,        ,(3+)          ,13,, 
28,148,28Si ,i ,-12176.88    ,   0.10    , 9315.92    ,   0.10    ,  , , ,   1.5   ,fs, 0.6    ,3+      T=1   ,13,, 
28,149,28Si ,j , -6265.8     ,   1.0     ,15227       ,   1       ,  , , ,         ,  ,        ,(0+)    T=2   ,13,1968, A=90 11;p=10 11
28,150,28P  ,  , -7147.9     ,   1.1     ,            ,           ,  , , , 270.3   ,ms, 0.5    ,3+            ,13,1953, B+=100;B+p=0.0013 4;B+A=0.00086 25
28,158,28P  ,i , -1261       ,  20       , 5887       ,  20       ,p , , ,         ,  ,        ,0+      T=2   ,13,, 
28,160,28S  ,  ,  4070       , 160       ,            ,           ,  , , , 125     ,ms, 10     ,0+            ,13,1982, B+=100;B+p=20.7 19
28,170,28Cl ,  , 28270#      , 500#      ,            ,           ,  , , ,         ,  , >100ns ,1+#           ,,2018, p=100
29,90,29F  ,  , 40150       , 530       ,            ,           ,  , , ,   2.5   ,ms, 0.3    ,(5/2+)        ,12,1989, B-=100;B-n=60 40;B-2n ?
29,100,29Ne ,  , 18400       , 150       ,            ,           ,  , , ,  14.7   ,ms, 0.4    ,(3/2-)        ,12,1985, B-=100;B-n=28 5;B-2n=4 1
29,110,29Na ,  ,  2680       ,   7       ,            ,           ,  , , ,  43.2   ,ms, 0.4    ,3/2+*         ,12,1969, B-=100;B-n=22 3;B-2n ?
29,120,29Mg ,  ,-10612.4     ,   0.3     ,            ,           ,  , , ,   1.30  , s, 0.12   ,3/2+*         ,12,1971, B-=100
29,130,29Al ,  ,-18207.8     ,   0.3     ,            ,           ,  , , ,   6.56  , m, 0.06   ,5/2+*         ,12,1939, B-=100
29,140,29Si ,  ,-21895.0815  ,   0.0006  ,            ,           ,  , , , stbl    ,  ,        ,1/2+*         ,12,1920, IS=4.672 16
29,148,29Si ,i ,-13605       ,   5       , 8290       ,   5       ,  , , ,         ,  ,        ,5/2+    T=3/2 ,12,, IT=100
29,150,29P  ,  ,-16952.8     ,   0.4     ,            ,           ,  , , ,   4.102 , s, 0.004  ,1/2+          ,12,1941, B+=100
29,158,29P  ,i , -8571.0     ,   2.5     , 8381.8     ,   2.4     ,RQ, , ,         ,  ,        ,5/2+    T=3/2 ,12,1969, IT=100
29,160,29S  ,  , -3094       ,  13       ,            ,           ,  , , , 188     ,ms, 4      ,5/2+#         ,12,1964, B+=100;B+p=46.4 10
29,170,29Cl ,  , 14020#      , 190#      ,            ,           ,  , , ,   5.4   ,zs, 1.9    ,(1/2+)        ,16,1993, p=100
29,180,29Ar ,  , 37970#      , 440#      ,            ,           ,  , , ,         ,  , >100ns ,5/2+#         ,,2018, 2p=100
30,90,30F  ,  , 48960#      , 500#      ,            ,           ,  , , ,         ,  , <260ns ,              ,10,, n ?
30,100,30Ne ,  , 23280       , 250       ,            ,           ,  , , ,   7.22  ,ms, 0.18   ,0+            ,10,1985, B-=100;B-n=13 4;B-2n=8.9 23
30,110,30Na ,  ,  8475       ,   5       ,            ,           ,  , , ,  45.9   ,ms, 0.7    ,2+*           ,10,1969, B-=100;B-n=28.6 22;B-2n=1.24 19;B-A=5.5e-5 2
30,120,30Mg ,  , -8881.4     ,   1.3     ,            ,           ,  , , , 317     ,ms, 4      ,0+            ,10,1971, B-=100;B-n<0.06
30,130,30Al ,  ,-15864.1     ,   1.9     ,            ,           ,  , , ,   3.62  , s, 0.06   ,3+*           ,10,1961, B-=100
30,140,30Si ,  ,-24432.962   ,   0.022   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,10,1924, IS=3.0735 21
30,150,30P  ,  ,-20200.86    ,   0.07    ,            ,           ,  , , ,   2.5000, m, 0.0017 ,1+*     T=0   ,10,1934, B+=100
30,158,30P  ,i ,-19523.85    ,   0.08    ,  677.01    ,   0.03    ,  , , ,         ,  ,        ,0+      T=1   ,10,, 
30,160,30S  ,  ,-14059.25    ,   0.21    ,            ,           ,  , , ,  1.1798 , s, 0.0003 ,0+            ,10,1961, B+=100
30,170,30Cl ,  ,  4675       ,  24       ,            ,           ,  , , ,         ,  , >100ns ,3+#           ,10,2018, p=100
30,180,30Ar ,  , 22070#      , 180#      ,            ,           ,  , , , <10     ,ps,        ,0+            ,16,2015, 2p=100
31,90,31F  ,  , 56840#      , 540#      ,            ,           ,  , , ,   2#    ,ms, >260ns ,5/2+#         ,13,1999, B- ?;B-n ?;B-2n ?
31,100,31Ne ,  , 31180       , 270       ,            ,           ,  , , ,   3.4   ,ms, 0.8    ,(3/2-)        ,13,1996, B-=100;B-n ?;B-2n ?
31,110,31Na ,  , 12246       ,  14       ,            ,           ,  , , ,  16.8   ,ms, 0.3    ,3/2+*         ,13,1969, B-=100;B-n=36.0 35;B-2n=0.73 9;B-3n<0.05
31,120,31Mg ,  , -3122       ,   3       ,            ,           ,  , , , 270     ,ms, 2      ,1/2+*         ,13,1977, B-=100;B-n=6.2 19
31,130,31Al ,  ,-14950.7     ,   2.2     ,            ,           ,  , , , 644     ,ms, 25     ,5/2+*         ,13,1971, B-=100;B-n<1.6
31,140,31Si ,  ,-22949.04    ,   0.04    ,            ,           ,  , , , 157.16  , m, 0.20   ,3/2+          ,13,1934, B-=100
31,150,31P  ,  ,-24440.5444  ,   0.0007  ,            ,           ,  , , , stbl    ,  ,        ,1/2+*         ,13,1920, IS=100
31,158,31P  ,i ,-18059.7     ,   2.0     , 6380.8     ,   2.0     ,  , , ,         ,  ,        ,3/2+    T=3/2 ,13,, IT=100
31,160,31S  ,  ,-19042.53    ,   0.23    ,            ,           ,  , , ,   2.5534, s, 0.0018 ,1/2+          ,13,1940, B+=100
31,168,31S  ,i ,-12761.9     ,   0.6     , 6280.60    ,   0.60    ,  , , ,         ,  ,        ,3/2+    T=3/2 ,13,, 
31,170,31Cl ,  , -7035       ,   3       ,            ,           ,  , , , 190     ,ms, 1      ,3/2+          ,13,1977, B+=100;B+p=2.4 2
31,178,31Cl ,i ,  5256       ,   3       ,12291       ,   5       ,RQ, , ,         ,  ,        ,3/2+    T=5/2 ,,,
31,180,31Ar ,  , 11330#      , 200#      ,            ,           ,  , , ,  15.0   ,ms, 0.3    ,5/2+*         ,13,1986, B+=100;B+p=68.3 3;B+2p=9.0 2;B+pA<0.38;B+3p=0.07 2;B+A<0.03;2p<0.0006                             
31,190,31K  ,  , 34260#      , 300#      ,            ,           ,  , , , >10     ,ps,        ,3/2+#         ,,2019, 3p=100
32,100,32Ne ,  , 37000#      , 500#      ,            ,           ,  , , ,   3.5   ,ms, 0.9    ,0+            ,11,1990, B-=100;B-n ?;B-2n ?
32,110,32Na ,  , 18640       ,  40       ,            ,           ,  , , ,  12.9   ,ms, 0.3    ,(3-)          ,11,1972, B-=100;B-n=26 6;B-2n=7.6 15
32,120,32Mg ,  ,  -829       ,   3       ,            ,           ,  , , ,  80.4   ,ms, 0.4    ,0+            ,11,1977, B-=100;B-n=5.5 5
32,130,32Al ,  ,-11099       ,   7       ,            ,           ,  , , ,  32.6   ,ms, 0.5    ,1+*           ,11,1971, B-=100;B-n=0.7 5
32,131,32Al ,m ,-10142       ,   7       ,  956.6     ,   0.5     ,  , , , 200     ,ns, 20     ,(4+)          ,11,1996, IT=100
32,140,32Si ,  ,-24077.69    ,   0.30    ,            ,           ,  , , , 157     , y, 7      ,0+            ,20,1953, B-=100
32,150,32P  ,  ,-24304.88    ,   0.04    ,            ,           ,  , , ,  14.269 , d, 0.007  ,1+*           ,11,1934, B-=100
32,158,32P  ,i ,-19232.44    ,   0.07    , 5072.44    ,   0.06    ,  , , ,         ,  ,        ,0+      T=2   ,11,, IT=100
32,160,32S  ,  ,-26015.5371  ,   0.0013  ,            ,           ,  , , , stbl    ,  ,        ,0+            ,11,1920, IS=94.85 255
32,168,32S  ,i ,-19014.1     ,   0.4     , 7001.4     ,   0.4     ,  , , ,         ,  ,        ,1+      T=1   ,11,, IT=100
32,169,32S  ,j ,-13967.58    ,   0.28    ,12047.96    ,   0.28    ,  , , ,         ,  ,        ,0+      T=2   ,11,, IT=100
32,170,32Cl ,  ,-13334.7     ,   0.6     ,            ,           ,  , , , 298     ,ms, 1      ,1+            ,11,1953, B+=100;B+A=0.054 8;B+p=0.026 5
32,178,32Cl ,i , -8288.4     ,   0.7     , 5046.3     ,   0.3     ,  , , ,         ,  ,        ,0+      T=2   ,11,, IT=100
32,180,32Ar ,  , -2200.4     ,   1.8     ,            ,           ,  , , ,  98     ,ms, 2      ,0+            ,11,1977, B+=100;B+p=35.58 22
32,190,32K  ,  , 21990#      , 400#      ,            ,           ,  , , ,         ,  ,        ,1+#           ,,, p ?
32,191,32K  ,m , 22940#      , 410#      ,  950#      , 100#      ,  , , ,         ,  ,        ,4+#           ,,, p ?
33,100,33Ne ,  , 46130#      , 600#      ,            ,           ,  , , ,         ,  , <260ns ,7/2-#         ,11,, n ?
33,110,33Na ,  , 23780       , 450       ,            ,           ,  , , ,   8.2   ,ms, 0.4    ,(3/2+)        ,11,1972, B-=100;B-n=47 6;B-2n=13 3
33,120,33Mg ,  ,  4962.9     ,   2.7     ,            ,           ,  , , ,  92.0   ,ms, 1.2    ,3/2-*         ,11,1979, B-=100;B-n=14 2;B-2n ?
33,130,33Al ,  , -8497       ,   7       ,            ,           ,  , , ,  41.46  ,ms, 0.09   ,5/2+*         ,11,1971, B-=100;B-n=8.5 7
33,140,33Si ,  ,-20514.3     ,   0.7     ,            ,           ,  , , ,   6.18  , s, 0.18   ,3/2+*         ,11,1971, B-=100
33,150,33P  ,  ,-26337.4     ,   1.1     ,            ,           ,  , , ,  25.35  , d, 0.11   ,1/2+          ,20,1951, B-=100
33,160,33S  ,  ,-26585.8583  ,   0.0013  ,            ,           ,  , , , stbl    ,  ,        ,3/2+          ,11,1926, IS=0.763 20
33,168,33S  ,i ,-21106.07    ,   0.13    , 5479.79    ,   0.13    ,  , , ,         ,  ,        ,1/2+    T=3/2 ,11,, IT=100
33,170,33Cl ,  ,-21003.3     ,   0.4     ,            ,           ,  , , ,   2.5038, s, 0.0022 ,3/2+          ,11,1940, B+=100
33,178,33Cl ,i ,-15454.9     ,   0.5     , 5548.4     ,   0.4     ,RQ, , ,         ,  ,        ,1/2+    T=3/2 ,11,, IT=100
33,180,33Ar ,  , -9384.3     ,   0.4     ,            ,           ,  , , , 173.0   ,ms, 2.0    ,1/2+          ,11,1964, B+=100;B+p=38.7 8
33,190,33K  ,  ,  7540#      , 200#      ,            ,           ,  , , ,         ,  , <25ns  ,3/2+#         ,11,, p ?
33,200,33Ca ,  , 31030#      , 400#      ,            ,           ,  , , ,         ,  ,        ,5/2+#         ,,, p ?
34,100,34Ne ,  , 52840#      , 510#      ,            ,           ,  , , ,   2#    ,ms, >1.5us ,0+            ,12,2002, B- ?;B-2n ?;B-n ?
34,110,34Na ,  , 31680       , 600       ,            ,           ,  , , ,   5.5   ,ms, 1.0    ,1+            ,12,1983, B-=100;B-2n~50;B-n~15
34,120,34Mg ,  ,  8323       ,   7       ,            ,           ,  , , ,  44.9   ,ms, 0.4    ,0+            ,12,1979, B-=100;B-n=21 7;B-2n<0.1
34,130,34Al ,  , -2997.6     ,   2.1     ,            ,           ,  , , ,  53.73  ,ms, 0.13   ,4-            ,12,1977, B-=100;B-n=26 4;B-2n ?
34,131,34Al ,m , -2951.1     ,   2.1     ,   46.47    ,   0.17    ,  , , ,  22.1   ,ms, 0.2    ,1+*           ,,2012, B-~100;B-n=11 4;B-2n ?
34,140,34Si ,  ,-19991.7     ,   0.8     ,            ,           ,  , , ,   2.77  , s, 0.20   ,0+            ,12,1971, B-=100
34,141,34Si ,m ,-15735.6     ,   0.9     , 4256.1     ,   0.4     ,  , , ,<210     ,ns,        ,(3-)          ,12,1989, IT=100
34,150,34P  ,  ,-24548.7     ,   0.8     ,            ,           ,  , , ,  12.43  , s, 0.10   ,1+            ,12,1945, B-=100
34,160,34S  ,  ,-29931.69    ,   0.04    ,            ,           ,  , , , stbl    ,  ,        ,0+            ,12,1926, IS=4.365 235
34,170,34Cl ,  ,-24440.09    ,   0.05    ,            ,           ,  , , ,   1.5267, s, 0.0004 ,0+      T=1   ,12,1934, B+=100
34,171,34Cl ,m ,-24293.73    ,   0.05    ,  146.360   ,   0.027   ,MD, , ,  31.99  , m, 0.03   ,3+      T=0   ,12,1965, B+=55.4 6;IT=44.6 6
